Data_type,Sensitivity,Department,Purpose,Emergency,Access_policy
Research Data,Highly Confidential,General Medicine,Billing,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the General Medicine department with clearance level 2.
Prescriptions,Confidential,Cardiology,Training,Yes,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the Cardiology department with clearance level 3.
Imaging Data,Confidential,Oncology,Research,No,This data can be accessed by users having roles: Researcher and belonging to the Oncology department with clearance level 2.
Imaging Data,Confidential,Radiology,Treatment,No,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the Radiology department with clearance level 3.
Prescriptions,Confidential,Radiology,Billing,Yes,This data can be accessed by users having roles: Researcher and belonging to the Radiology department with clearance level 3.
Imaging Data,Highly Confidential,Neurology,Training,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Neurology department with clearance level 1.
Lab Results,Confidential,General Medicine,Training,Yes,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the General Medicine department with clearance level 3.
Prescriptions,Highly Confidential,Neurology,Training,No,This data can be accessed by users having roles: Researcher and belonging to the Neurology department with clearance level 3.
Medical Records,Restricted,General Medicine,Research,No,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the General Medicine department with clearance level 1.
Medical Records,Confidential,Cardiology,Training,No,This data can be accessed by users having roles: Doctor and belonging to the Cardiology department with clearance level 3.
Lab Results,Restricted,Oncology,Treatment,Yes,This data can be accessed by users having roles: Researcher and belonging to the Oncology department with clearance level 3.
Prescriptions,Public,Neurology,Treatment,Yes,This data can be accessed by users having roles: (Researcher or Admin) and belonging to the Neurology department with clearance level 2.
Lab Results,Highly Confidential,Neurology,Training,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Neurology department with clearance level 1.
Medical Records,Restricted,Radiology,Treatment,Yes,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Radiology department with clearance level 2.
Medical Records,Highly Confidential,Cardiology,Billing,No,This data can be accessed by users having roles: Doctor and belonging to the Cardiology department with clearance level 2.
Imaging Data,Highly Confidential,General Medicine,Training,Yes,This data can be accessed by users having roles: Nurse and belonging to the General Medicine department with clearance level 2.
Prescriptions,Public,Radiology,Billing,No,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Radiology department with clearance level 2.
Administrative Data,Public,Neurology,Treatment,No,This data can be accessed by users having roles: Nurse and belonging to the Neurology department with clearance level 3.
Research Data,Public,Radiology,Treatment,No,This data can be accessed by users having roles: Admin and belonging to the Radiology department with clearance level 3.
Prescriptions,Highly Confidential,Radiology,Billing,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Radiology department with clearance level 2.
Imaging Data,Public,General Medicine,Research,No,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the General Medicine department with clearance level 1.
Imaging Data,Restricted,Neurology,Billing,Yes,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the Neurology department with clearance level 3.
Research Data,Public,Cardiology,Billing,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Cardiology department with clearance level 2.
Imaging Data,Restricted,General Medicine,Treatment,No,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the General Medicine department with clearance level 1.
Imaging Data,Public,General Medicine,Research,Yes,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the General Medicine department with clearance level 3.
Administrative Data,Highly Confidential,General Medicine,Research,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the General Medicine department with clearance level 3.
Prescriptions,Restricted,Neurology,Research,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Neurology department with clearance level 1.
Lab Results,Confidential,General Medicine,Billing,No,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the General Medicine department with clearance level 1.
Imaging Data,Restricted,Oncology,Billing,Yes,This data can be accessed by users having roles: Researcher and belonging to the Oncology department with clearance level 1.
Lab Results,Restricted,Oncology,Training,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Oncology department with clearance level 1.
Imaging Data,Public,Cardiology,Research,Yes,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Cardiology department with clearance level 3.
Medical Records,Public,Oncology,Billing,No,This data can be accessed by users having roles: Nurse and belonging to the Oncology department with clearance level 1.
Prescriptions,Restricted,Cardiology,Training,No,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Cardiology department with clearance level 3.
